,strategy
CAE,2.0
HXL,1.0
EME,1.0
PHG,2.0
HEES,2.0
HUBG,2.0
TWI,2.0
DCO,2.0
MMS,2.0
ERII,0.0
AEGN,2.0
PRIM,2.0
ZBRA,2.0
BGG,2.0
RADA,2.0
GOGL,2.0
CCRN,0.0
JBT,0.0
CMRE,2.0
AIT,2.0
SNX,0.0
ACCO,2.0
ASGN,0.0
OMAB,1.0
UHAL,0.0
VMI,2.0
AYR,2.0
FCN,2.0
WEX,2.0
ADES,2.0
BOOM,2.0
EXLS,0.0
RTRX,0.0
MNTX,2.0
LSTR,2.0
ARTX,2.0
SRT,2.0
CBZ,0.0
SAIA,2.0
RRTS,2.0
GOL,2.0
VEC,2.0
AIR,2.0
CPLP,2.0
JOBS,2.0
ASPS,2.0
SB,2.0
EURN,0.0
TGH,2.0
FWRD,2.0
MARA,2.0
LECO,2.0
ROL,0.0
PRGX,2.0
EXPO,0.0
KFY,0.0
HRI,2.0
LDL,1.0
PRLB,2.0
CR,2.0
LNN,2.0
CETX,2.0
CODI,2.0
AVAV,1.0
DSX,2.0
GIFI,2.0
BGSF,0.0
SSD,2.0
TNC,2.0
HURN,2.0
CVTI,2.0
TRTN,2.0
NNBR,2.0
NNA,2.0
ROLL,2.0
NSSC,0.0
AMRC,2.0
TNP,0.0
CLCT,2.0
BBSI,0.0
VLRS,0.0
CIR,2.0
THR,2.0
DHX,2.0
KFRC,2.0
TRS,2.0
NSP,0.0
OMEX,2.0
RECN,2.0
ASR,1.0
MORN,0.0
HZN,2.0
AIMC,2.0
PAC,0.0
CTEK,2.0
NVEE,0.0
ATRO,2.0
AZZ,0.0
KLXI,2.0
ECOL,2.0
AVH,2.0
TOO,2.0
GV,2.0
FSS,2.0
FRO,0.0
HY,2.0
CLH,2.0
MATX,0.0
ALGT,1.0
WTS,2.0
RAIL,2.0
FIX,0.0
ARCB,2.0
ACRX,2.0
CAI,2.0
MG,2.0
HAYN,2.0
ORN,2.0
SPEX,2.0
GRC,2.0
FLY,1.0
AGX,2.0
NXTD,2.0
DCIX,2.0
KAMN,2.0
HIL,2.0
NL,2.0
GHM,2.0
CUB,2.0
RGR,0.0
TTEC,0.0
ULBI,0.0
KELYA,2.0
HMLP,2.0
CSWI,0.0
CDTI,2.0
RAVN,2.0
KNOP,2.0
VRTV,2.0
TTEK,2.0
CCF,0.0
RLGT,2.0
CEA,0.0
HBP,0.0
ZEUS,2.0
FORR,2.0
STRL,2.0
STCN,2.0
GRAM,2.0
STN,2.0
CVU,2.0
EBF,0.0
PANL,2.0
IEP,2.0
ESNC,2.0
MPX,2.0
USAK,2.0
TG,2.0
IESC,0.0
BOSC,2.0
NPK,0.0
POWL,2.0
TITN,2.0
GSL,2.0
PFSW,2.0
TWIN,2.0
VSEC,2.0
SP,2.0
ALG,2.0
AXU,2.0
CREG,2.0
GENC,0.0
XONE,2.0
ULH,2.0
ERA,2.0
ESLT,0.0
GASS,2.0
KEQU,2.0
LTBR,2.0
MHH,2.0
SEII,2.0
CCRC,2.0
PFMT,2.0
GFN,2.0
JOB,2.0
AP,2.0
BWEN,2.0
CASS,2.0
CLWT,1.0
CVV,2.0
FSTR,2.0
FTEK,2.0
LMB,2.0
MAGS,2.0
PKOH,2.0
PPIH,2.0
SPLP,2.0
STAF,2.0
UUU,2.0
ZNH,0.0
SEB,2.0
WLFC,2.0
CLIR,2.0
SINO,2.0
SWP,2.0
SGRP,2.0
MICT,2.0
ACY,0.0
AIRI,2.0
AIRT,2.0
APDN,1.0
ARCW,2.0
ARTW,2.0
ASTC,2.0
AWX,2.0
AXR,1.0
BKYI,0.0
BLNK,2.0
CIX,2.0
CVR,2.0
DAC,2.0
DGLY,2.0
DLHC,0.0
DLNG,2.0
EEI,0.0
ENG,2.0
ESEA,2.0
ESTR,2.0
GFNCP,2.0
GLBS,2.0
GSH,2.0
HIHO,0.0
HWCC,2.0
IDSA,2.0
INS,0.0
IPWR,1.0
ISSC,2.0
KELYB,2.0
KIQ,2.0
LAWS,2.0
LIVE,2.0
LXFR,2.0
NTRP,2.0
OFLX,2.0
ORGS,2.0
PATI,2.0
PESI,2.0
PFIN,1.0
PTSI,2.0
PXS,2.0
SCX,2.0
SHIP,2.0
SIF,2.0
SMED,0.0
SPCB,2.0
SWJ,2.0
SXI,1.0
TATT,0.0
TAYD,0.0
USDP,2.0
VIRC,0.0
VTNR,2.0
WHLM,0.0
SRC,2.0
EQR,0.0
NLY,2.0
ARI,0.0
CCI,1.0
VTR,2.0
VER,2.0
WELL,2.0
PLD,2.0
BDN,2.0
Z,2.0
AIV,1.0
RLJ,2.0
DDR,2.0
KIM,1.0
BXMT,2.0
DLR,0.0
CLI,0.0
NYMT,2.0
LADR,2.0
DOC,2.0
PDM,2.0
QTS,0.0
AMH,2.0
HST,2.0
UE,2.0
WRE,2.0
DRE,2.0
CONE,0.0
KRG,2.0
RLGY,2.0
HPP,2.0
INVH,2.0
CTRE,2.0
NHI,2.0
CBL,2.0
O,1.0
SHO,2.0
BXP,2.0
STOR,1.0
SPG,2.0
CBRE,2.0
CXP,2.0
AGNC,2.0
MPW,2.0
CIM,2.0
LAMR,0.0
OFC,2.0
TWO,2.0
SLG,2.0
VNO,2.0
UDR,0.0
SBRA,2.0
HTA,2.0
LXP,2.0
KW,2.0
NNN,2.0
CUZ,2.0
ABR,0.0
ROIC,1.0
INN,2.0
OHI,2.0
SUI,0.0
ANH,2.0
SKT,2.0
WPG,2.0
DRH,2.0
CUBE,0.0
GLPI,2.0
HR,2.0
APLE,0.0
IRET,2.0
ESRT,2.0
PEB,2.0
ARE,2.0
MFA,2.0
LPT,2.0
AVB,0.0
MGP,2.0
MAA,0.0
XHR,2.0
FR,1.0
BRX,2.0
EXR,0.0
WRI,2.0
CPT,2.0
ALEX,2.0
STWD,2.0
XIN,0.0
GEO,2.0
BAM,2.0
SNR,2.0
SNH,2.0
STAG,2.0
IRS,2.0
EQC,2.0
DEI,1.0
BBX,2.0
NRZ,2.0
CTT,2.0
AHH,0.0
HIW,2.0
REXR,2.0
REG,2.0
ZG,2.0
MAC,2.0
RPAI,2.0
IVR,2.0
RESI,2.0
JLL,2.0
PSA,0.0
COR,0.0
PEI,2.0
AKR,2.0
FRT,1.0
IRT,2.0
ESS,0.0
HT,2.0
WPC,2.0
PCH,2.0
CLDT,2.0
DEA,0.0
AAT,2.0
NSA,0.0
WSR,2.0
RWT,2.0
FSP,2.0
APTS,0.0
RPT,2.0
MNR,2.0
ORC,2.0
CMO,2.0
FCPT,0.0
RHP,2.0
ADC,0.0
LSI,0.0
EPR,2.0
HHC,2.0
PMT,2.0
EGP,2.0
KRC,2.0
TRNO,1.0
TCO,2.0
STAR,2.0
LTC,2.0
ELS,0.0
CDR,2.0
BPY,2.0
CIO,2.0
BRG,2.0
HASI,0.0
ACC,2.0
AHT,2.0
DS,2.0
ARR,2.0
RMAX,0.0
MMI,2.0
JOE,2.0
RMR,0.0
FPI,2.0
FOR,2.0
PICO,2.0
EARN,2.0
PSB,1.0
WMC,2.0
LEJU,2.0
DX,2.0
NXRT,2.0
FRPH,2.0
CTO,2.0
FSV,0.0
GTY,2.0
UMH,0.0
GOOD,2.0
OLP,2.0
MITT,2.0
ACRE,2.0
BRT,2.0
CHMI,2.0
UHT,2.0
UBA,2.0
IOR,0.0
TRC,2.0
WHLR,2.0
GRIF,2.0
CIGI,0.0
SOHO,2.0
STRS,0.0
LMRK,2.0
GRBK,2.0
LAND,2.0
ALX,2.0
TPL,1.0
WHLRP,0.0
IRCP,0.0
CMCT,2.0
NYMTP,2.0
BFS,2.0
TCI,2.0
AGNCB,2.0
AJX,2.0
ARL,2.0
CDOR,2.0
CHCI,2.0
CKX,2.0
EMITF,2.0
ESBA,2.0
FISK,2.0
GYRO,2.0
HGSH,2.0
HMG,2.0
IHT,2.0
INTG,0.0
MAYS,0.0
MLP,2.0
NEN,2.0
NYMTO,2.0
OBAS,2.0
OGCP,2.0
PW,2.0
SELF,1.0
UBP,2.0
T,2.0
VEON,2.0
VZ,2.0
CTL,2.0
NFLX,0.0
TMUS,0.0
AMT,2.0
DISH,2.0
LBTYK,2.0
LBTYA,2.0
AMX,2.0
GSAT,2.0
MBT,2.0
LBRDA,2.0
CHTR,1.0
VOD,2.0
ORBC,1.0
SBAC,2.0
KT,2.0
CHL,2.0
IRDM,2.0
LBRDK,2.0
GOGO,2.0
TSU,2.0
SKM,2.0
TEUM,2.0
RBBN,2.0
VIV,2.0
VG,0.0
BCE,2.0
CCOI,2.0
CNSL,2.0
FTR,2.0
ALSK,2.0
EGHT,0.0
I,2.0
TEF,2.0
HCHC,2.0
TDS,2.0
RCI,2.0
GLOW,2.0
GTT,0.0
TU,2.0
CHU,2.0
CBB,1.0
TLK,2.0
SITO,2.0
LILAK,1.0
SJR,2.0
TEO,2.0
TKC,2.0
IDCC,2.0
IDT,2.0
PHI,2.0
HMTV,1.0
SHEN,0.0
CABO,2.0
CHT,2.0
USM,2.0
OOMA,2.0
SPOK,1.0
LILA,2.0
ORAN,2.0
UTSI,2.0
ATNI,0.0
CEL,2.0
GLIBP,0.0
CHA,2.0
TDA,1.0
TDE,2.0
UZA,1.0
BCOM,0.0
AMOV,2.0
IGLD,0.0
IPAS,2.0
LBTYB,2.0
MTSL,2.0
OTEL,0.0
PTNR,2.0
SIFY,2.0
TDI,2.0
TDJ,2.0
VZA,2.0
KMI,2.0
XOM,2.0
HAL,2.0
MRO,2.0
SWN,2.0
SLB,2.0
DVN,2.0
MPC,0.0
COP,2.0
CHK,2.0
CVX,2.0
NBR,2.0
SRCI,2.0
JAG,0.0
APA,2.0
KOS,2.0
LPI,2.0
PTEN,2.0
QEP,2.0
RIG,2.0
DNR,2.0
EOG,2.0
OAS,2.0
OKE,2.0
HES,2.0
OXY,2.0
CVE,2.0
FTI,2.0
MDR,1.0
ECA,2.0
RES,2.0
WMB,2.0
SU,2.0
PE,0.0
PAA,2.0
VLO,0.0
AR,2.0
SM,2.0
COG,2.0
EPD,2.0
NBL,2.0
WLL,2.0
CRZO,2.0
CLR,2.0
PXD,2.0
WPX,2.0
WTI,2.0
XEC,2.0
SGU,0.0
NOV,2.0
CPE,0.0
NE,2.0
BP,2.0
MUR,2.0
SHLX,2.0
CXO,2.0
HLX,2.0
HP,2.0
LNG,2.0
PBF,0.0
CNQ,2.0
CNX,2.0
OII,2.0
PSX,0.0
RRC,2.0
FET,2.0
FANG,1.0
NOG,2.0
GTE,2.0
ENB,2.0
TRP,2.0
BTE,2.0
CRC,2.0
PEIX,2.0
PDS,2.0
TCP,2.0
EQT,2.0
OIS,2.0
SEMG,2.0
PAGP,2.0
REGI,2.0
ENLC,2.0
MPLX,2.0
EC,2.0
DO,2.0
AROC,2.0
DNOW,2.0
REI,2.0
DRQ,2.0
MTDR,2.0
PSXP,2.0
NGL,2.0
HFC,2.0
MMP,2.0
TRGP,2.0
CQP,2.0
GPOR,2.0
WES,2.0
PDCE,0.0
TELL,2.0
MRC,2.0
CPG,2.0
IMO,2.0
DK,2.0
DCP,2.0
CNXM,2.0
TK,2.0
YPF,2.0
NS,2.0
MCF,2.0
SNP,2.0
TTI,0.0
EQM,2.0
INT,2.0
CHKR,2.0
BAS,2.0
GEL,2.0
HEP,2.0
MTRX,2.0
TOT,2.0
ERF,2.0
NFG,2.0
USAC,2.0
PBA,2.0
ENBL,2.0
NR,2.0
CLMT,2.0
EEQ,2.0
FTK,2.0
AXAS,2.0
PTR,2.0
SSL,2.0
E,2.0
CRR,2.0
VNOM,2.0
ZN,0.0
FI,2.0
CVI,2.0
NOA,2.0
CLB,2.0
GLP,2.0
PER,2.0
AREX,2.0
BCEI,2.0
CRK,2.0
EPM,2.0
UGP,2.0
CEI,0.0
PARR,0.0
EXTN,2.0
PBFX,2.0
ROYT,2.0
NGS,2.0
GPRK,2.0
LLEX,2.0
CLNE,2.0
VOC,2.0
ICD,2.0
ESTE,2.0
SJT,2.0
IO,2.0
HOS,2.0
CKH,2.0
OBE,2.0
SMLP,2.0
CEO,2.0
KEG,2.0
GLOP,2.0
UNT,2.0
YUMA,2.0
ESES,2.0
TDW,2.0
USEG,2.0
EGY,2.0
PBT,2.0
MMLP,2.0
BKEP,2.0
GEOS,2.0
PGH,2.0
TAT,2.0
CCLP,2.0
CAPL,2.0
DKL,2.0
VET,2.0
BPT,2.0
CELP,2.0
GPP,1.0
SDPI,2.0
TGA,2.0
MXC,2.0
MVO,2.0
DWSN,2.0
AE,2.0
GNE,0.0
PFIE,2.0
PHX,2.0
SRLP,2.0
PED,2.0
SHI,0.0
BKEPP,2.0
BRN,2.0
CRT,2.0
DMLP,2.0
ECT,2.0
ENSV,2.0
GBR,2.0
HUSA,2.0
LONE,2.0
MARPS,2.0
MCEP,2.0
NRT,2.0
PNRG,2.0
RCON,2.0
SAEX,2.0
SBR,2.0
SDR,2.0
SDT,2.0
SNMP,2.0
TGC,2.0
TRCH,0.0
BAC,2.0
WFC,2.0
AIG,1.0
C,2.0
MS,2.0
JPM,2.0
BBD,2.0
AXP,2.0
V,0.0
KEY,2.0
RF,2.0
IBN,2.0
MSCI,0.0
RDN,2.0
AABA,2.0
PYPL,2.0
SCHW,1.0
STI,2.0
ITUB,2.0
BK,2.0
FITB,2.0
USB,2.0
HBAN,2.0
DB,2.0
PGR,0.0
BCS,2.0
BX,2.0
SYF,2.0
MTG,2.0
ZION,2.0
BBT,2.0
CFG,2.0
FNB,2.0
VOYA,2.0
NTRS,2.0
KKR,2.0
WRB,1.0
FRC,0.0
STL,0.0
NYCB,2.0
MET,2.0
AFL,2.0
GS,2.0
MA,0.0
BBVA,2.0
ICE,0.0
IVZ,2.0
SLM,2.0
CME,2.0
PPBI,0.0
ETFC,0.0
CEF,2.0
WDR,2.0
AMTD,2.0
PNC,2.0
ARCC,2.0
FNF,2.0
LC,2.0
BEN,2.0
NAVI,2.0
FHN,1.0
LYG,2.0
ALLY,2.0
EVR,2.0
WU,2.0
SAN,2.0
HOMB,0.0
CS,2.0
ISBC,0.0
AGO,2.0
CB,2.0
PRU,2.0
PBCT,1.0
UCBI,2.0
CBSH,2.0
SC,2.0
HIG,2.0
ING,2.0
UBS,0.0
CNO,1.0
BANC,0.0
OMF,0.0
COF,2.0
TROW,2.0
FBP,2.0
BGCP,1.0
ASB,2.0
AEG,2.0
EWBC,1.0
STT,2.0
VLY,2.0
APO,2.0
MMC,2.0
GNW,2.0
L,2.0
MBI,2.0
ONB,2.0
DFS,2.0
NGHC,0.0
UNM,2.0
BHF,2.0
SIVB,2.0
LPLA,2.0
SEIC,0.0
ALL,2.0
KRNY,0.0
MFC,2.0
UMPQ,2.0
PNFP,0.0
CBOE,2.0
PHH,2.0
TCF,0.0
RY,2.0
TRV,1.0
ADS,2.0
AXS,1.0
ESNT,2.0
SMFG,2.0
FULT,2.0
LAZ,2.0
LNC,2.0
CMA,2.0
PFG,2.0
STFC,2.0
HSBC,2.0
HDB,0.0
WAL,0.0
ARES,2.0
WAFD,1.0
BSBR,2.0
BKU,0.0
FII,2.0
ACGL,0.0
SBNY,0.0
AEL,2.0
ORI,0.0
MC,2.0
NMIH,2.0
LFC,2.0
NBHC,1.0
BPOP,2.0
GWB,0.0
TD,2.0
BRO,2.0
FAF,1.0
KMPR,2.0
BLK,2.0
TRUP,0.0
HOPE,0.0
AON,2.0
BXS,1.0
RJF,2.0
AMP,2.0
CM,2.0
TCBI,2.0
OCN,2.0
NWBI,1.0
PSEC,2.0
WETF,2.0
SF,2.0
WBS,0.0
TPRE,2.0
VIRT,2.0
GHL,2.0
CFR,2.0
BNS,2.0
EV,2.0
CINF,0.0
GLRE,2.0
HLI,0.0
GGAL,0.0
WTFC,2.0
FCF,2.0
FANH,0.0
BKCC,0.0
MTB,2.0
FDS,0.0
PACW,2.0
AIZ,0.0
PRA,1.0
UMBF,2.0
BAP,2.0
OCSL,2.0
HTLF,0.0
CUBI,0.0
APAM,2.0
STC,2.0
FFBC,2.0
BMO,2.0
TOWN,0.0
AJG,2.0
RGA,2.0
KB,2.0
FHB,2.0
SNV,0.0
MGI,2.0
OSBC,0.0
BRKL,0.0
ONDK,2.0
IBKR,0.0
CSFL,0.0
CFFN,2.0
RLI,0.0
UBSI,2.0
WLTW,1.0
FCFS,2.0
CNS,2.0
LM,2.0
GDOT,2.0
OPB,0.0
MCC,2.0
MCY,2.0
CATY,0.0
COLB,0.0
BPFH,2.0
EZPW,2.0
BSMX,2.0
MHLD,0.0
WD,0.0
TBBK,2.0
NDAQ,0.0
WSFS,0.0
MKTX,0.0
ECPG,2.0
HRTG,1.0
CIB,2.0
HFWA,1.0
BHLB,0.0
TSC,0.0
RE,1.0
FBC,0.0
SFNC,0.0
LTS,2.0
PB,2.0
IBKC,2.0
TFSL,0.0
PRAA,2.0
AFG,0.0
BANR,1.0
SLF,2.0
SIGI,0.0
BOH,1.0
OFG,2.0
MFG,0.0
HTGC,2.0
GBCI,2.0
AINV,2.0
HTH,2.0
LKFN,1.0
CASH,0.0
SFBS,0.0
RBS,2.0
BMA,0.0
GABC,0.0
AB,2.0
TRMK,2.0
EFSC,0.0
BOKF,2.0
UVSP,2.0
OCFC,0.0
ENVA,2.0
AMG,2.0
NMR,2.0
UCFC,1.0
FMBI,1.0
ORIT,0.0
TREE,0.0
BSAC,2.0
HMN,2.0
EBSB,0.0
UIHC,2.0
TCPC,2.0
IBTX,2.0
AI,2.0
ACBI,2.0
CVBF,1.0
SASR,1.0
HAFC,1.0
GCAP,2.0
PRI,2.0
WASH,2.0
LBAI,2.0
IBOC,2.0
WBK,2.0
DGICA,2.0
GBDC,2.0
OCSI,2.0
CG,2.0
TRST,2.0
FLIC,1.0
CIT,2.0
EQBK,2.0
TCRD,2.0
SSB,1.0
MAIN,2.0
AVAL,2.0
GTS,2.0
NNI,2.0
TCBK,0.0
GSBC,0.0
ABCB,0.0
PJC,2.0
CACC,0.0
CNA,2.0
AMBC,2.0
TSLX,2.0
OLBK,0.0
PNNT,2.0
SFE,2.0
PHYS,2.0
SRCE,2.0
SBSI,2.0
QCRH,0.0
SBCF,1.0
FRME,0.0
FBNC,2.0
SLRC,2.0
CPF,2.0
EGBN,0.0
THG,0.0
NOAH,0.0
FRBK,0.0
PEBO,2.0
LOB,2.0
RNR,0.0
JRVR,0.0
NBTB,1.0
CNOB,2.0
GLAD,2.0
UFCS,0.0
CBU,1.0
TBK,0.0
PFSI,2.0
FFIN,2.0
MN,2.0
Y,2.0
AFH,0.0
HTBI,0.0
WSBC,2.0
PFBC,0.0
MFNC,2.0
BLX,2.0
EFC,2.0
HCI,2.0
VBTX,1.0
WSBF,1.0
FFG,0.0
PFLT,2.0
MFIN,2.0
FNHC,0.0
HTBK,0.0
HMST,0.0
FFIC,1.0
INDB,1.0
ERIE,1.0
AGM,1.0
FDUS,2.0
ANAT,2.0
CIVB,0.0
WABC,2.0
CNBKA,2.0
PUK,2.0
UBFO,2.0
SONA,0.0
FFWM,0.0
CAC,0.0
CARO,0.0
CIA,2.0
AMRK,0.0
MKL,0.0
WRLD,2.0
PZN,2.0
SYBT,0.0
EIG,0.0
CHCO,2.0
IBCP,0.0
MBWM,0.0
PGC,1.0
UVE,0.0
ATAX,2.0
NFBK,1.0
SHG,2.0
FISI,0.0
MOFG,1.0
RNST,0.0
FBMS,0.0
TMP,2.0
ABTX,2.0
MCBC,1.0
THFF,2.0
YIN,0.0
PFS,0.0
YRD,2.0
GAIN,0.0
MMAC,0.0
CTBI,2.0
INTL,0.0
BSRR,2.0
FDEF,0.0
PSLV,2.0
ESXB,0.0
BANX,2.0
ISTR,0.0
NTRSP,1.0
RM,2.0
WNEB,0.0
HBMD,0.0
MFSF,0.0
RILY,2.0
HBNC,1.0
DCOM,1.0
BWFG,2.0
FMBH,0.0
INBK,0.0
SVVC,2.0
BCBP,2.0
GARS,2.0
BHB,0.0
WTM,0.0
ESGR,2.0
CVCY,2.0
EHTH,2.0
GROW,2.0
KINS,0.0
MRLN,2.0
MVC,2.0
QIWI,2.0
WHG,2.0
BUSE,1.0
SMBC,0.0
LMFA,2.0
FCBC,0.0
SCM,2.0
MRCC,2.0
PWOD,2.0
FNWB,0.0
TSBK,0.0
STBA,2.0
TBNK,0.0
BFIN,1.0
PBIP,0.0
RBCAA,1.0
SAL,0.0
SUNS,1.0
WF,2.0
BCH,2.0
IX,0.0
PRK,2.0
PFBI,1.0
CCBG,2.0
ENFC,0.0
IMH,0.0
BMRC,2.0
AC,0.0
DHIL,0.0
ESSA,0.0
FFNW,0.0
OPY,2.0
BOCH,0.0
FCNCA,2.0
WTBA,0.0
AROW,2.0
BANF,2.0
BDGE,0.0
BYFC,1.0
CHMG,2.0
FRBA,1.0
GBLI,2.0
GEC,2.0
OFS,1.0
SMBK,0.0
TIPT,2.0
PBBI,0.0
VRTS,2.0
BMTC,2.0
CPTA,2.0
CRVL,0.0
PMBC,2.0
MSB,2.0
FNLC,0.0
MBCN,2.0
NKSH,0.0
AMNB,1.0
CFFI,2.0
ISG,2.0
SHBI,0.0
TCFC,2.0
GBL,2.0
AUBN,0.0
OVBC,2.0
AMSF,0.0
BCRH,2.0
BCTF,0.0
CZWI,2.0
EBTC,2.0
FBSS,2.0
FCCY,0.0
FMAO,2.0
FMNB,2.0
GSBD,2.0
HALL,2.0
IBKCP,2.0
JRJC,0.0
MLVF,0.0
MTR,2.0
RVSB,2.0
SMMF,1.0
WHF,1.0
NGHCO,1.0
SFST,0.0
LCNB,0.0
SBBX,0.0
EVBN,2.0
GCBC,1.0
FBIZ,2.0
RZA,2.0
NCBS,0.0
FCCO,0.0
SLCT,2.0
WTFCM,1.0
OFED,2.0
NWLI,2.0
CATC,2.0
SAFT,2.0
DNBF,0.0
NRIM,2.0
EBMT,0.0
ICBK,0.0
FGBI,2.0
HIFS,0.0
ITIC,0.0
PEBK,1.0
PVBC,2.0
SBFG,0.0
AAMC,2.0
AAME,0.0
ACNB,2.0
AEB,2.0
AFC,2.0
AINC,2.0
AIW,2.0
AMRB,1.0
ASFI,2.0
ASRV,2.0
ATLC,0.0
ATLO,2.0
BBDO,2.0
BKJ,2.0
BKSC,1.0
BOTJ,0.0
CARV,2.0
CBAN,0.0
CBFV,0.0
CBSHP,1.0
CCNE,2.0
CFBK,2.0
CIVBP,1.0
CIZN,0.0
CNFR,2.0
COHN,2.0
CPSS,2.0
CSWC,2.0
CVLY,2.0
CWBC,2.0
CZNC,2.0
DGICB,2.0
DXF,2.0
ECCA,2.0
EMCF,2.0
EQFN,0.0
EQS,2.0
ESBK,2.0
FCAP,1.0
FDBC,2.0
FITBI,1.0
FNCB,2.0
FPAY,2.0
FSBC,0.0
FSBW,0.0
FSFG,0.0
FUNC,0.0
FUSB,2.0
GFED,0.0
GLBZ,2.0
GWGH,2.0
HBCP,0.0
HCAP,1.0
HFBL,0.0
HMNF,2.0
HNNA,0.0
HRZN,2.0
HWBK,2.0
IHC,2.0
IROQ,1.0
ITCB,2.0
JMP,2.0
JPI,1.0
KFFB,0.0
KFS,2.0
KST,2.0
LARK,0.0
LOAN,0.0
LSBK,2.0
MDLY,2.0
MELR,0.0
MGYR,0.0
MPB,2.0
MSBF,0.0
MVBF,2.0
NBN,2.0
NGHCP,1.0
NHLD,2.0
NICK,2.0
NSEC,1.0
NWFL,2.0
OHAI,2.0
OPHC,2.0
OPOF,0.0
ORRF,2.0
OTTW,2.0
OVLY,2.0
OXBR,2.0
OXLCO,2.0
PBHC,0.0
PFH,1.0
PFIS,2.0
PIH,2.0
PKBK,1.0
PLBC,2.0
PNBK,2.0
PROV,0.0
RAND,2.0
RBNC,2.0
SAMG,2.0
SAR,0.0
SBFGP,0.0
SFBC,0.0
SGB,0.0
SIEB,2.0
SLMBP,2.0
SNFCA,0.0
SSBI,2.0
SVBI,0.0
TCBIP,2.0
TRCB,0.0
TURN,2.0
UBCP,0.0
UBOH,0.0
UNAM,2.0
UNB,0.0
UNTY,0.0
VBFC,2.0
WCFB,2.0
WEBK,2.0
WVFC,0.0
D,2.0
AEP,2.0
NRG,2.0
AES,2.0
PPL,2.0
LNT,2.0
PCG,2.0
SO,2.0
CNP,2.0
DUK,2.0
NEE,2.0
EXC,2.0
PEGI,2.0
EIX,2.0
XEL,2.0
NI,0.0
CMS,2.0
ES,2.0
PNW,2.0
FE,2.0
PEG,2.0
WEC,2.0
ED,2.0
AEE,2.0
OGE,2.0
SRE,2.0
NJR,1.0
NGG,2.0
SBS,2.0
CIG,2.0
ELP,2.0
POR,2.0
WTR,0.0
ATO,0.0
SWX,2.0
ENIA,2.0
ETR,2.0
TERP,2.0
CZZ,2.0
AWK,0.0
BKH,2.0
HE,2.0
SJI,2.0
UGI,2.0
CWT,2.0
PNM,2.0
AT,2.0
AVA,2.0
AWR,1.0
KEP,0.0
DTE,2.0
EE,2.0
SR,0.0
CPK,0.0
PAM,0.0
FCEL,2.0
SPH,2.0
TGS,0.0
CDZI,2.0
OGS,0.0
AY,2.0
NWE,2.0
EBR,2.0
JE,0.0
CEQP,2.0
AGR,2.0
NWN,2.0
NEP,2.0
OPTT,2.0
SPKE,0.0
IDA,2.0
AQN,2.0
ALE,2.0
ORA,0.0
OTTR,2.0
CPL,2.0
BIP,2.0
SJW,2.0
CORR,2.0
UTL,2.0
HNP,2.0
CWCO,0.0
PCYO,0.0
MGEE,2.0
YORW,1.0
EDN,0.0
EAE,1.0
ENJ,1.0
KEN,2.0
SKYS,2.0
MSEX,0.0
TAC,2.0
ARTNA,0.0
BEP,2.0
DTQ,2.0
ELLO,2.0
RGCO,2.0
INTC,2.0
MU,2.0
AAPL,2.0
MSFT,0.0
HPQ,2.0
AMD,2.0
FB,0.0
ORCL,2.0
JD,0.0
NOK,2.0
TWTR,2.0
AVGO,0.0
AMAT,2.0
ZNGA,2.0
QCOM,2.0
CSCO,2.0
GRPN,2.0
CRM,0.0
ATVI,0.0
SQ,2.0
FLEX,2.0
XRX,2.0
CVLT,2.0
NVDA,0.0
WDC,2.0
ON,2.0
INFY,1.0
MRVL,2.0
HPE,2.0
TXN,2.0
GDDY,0.0
BOX,2.0
AMZN,0.0
ENTG,2.0
JBL,1.0
ACN,0.0
ADSK,2.0
BIDU,2.0
IBM,2.0
IT,2.0
ATHM,2.0
MOMO,0.0
GLW,2.0
STX,2.0
ADBE,0.0
CY,2.0
TSM,2.0
ZAYO,2.0
NCR,2.0
PSTG,2.0
VMW,2.0
LRCX,2.0
NXPI,1.0
YNDX,2.0
GOOGL,0.0
CGNX,2.0
FSLR,0.0
MX,2.0
CTSH,0.0
CTXS,0.0
SABR,0.0
WIT,2.0
HQY,2.0
GRUB,2.0
NTCT,2.0
TTWO,0.0
KLAC,2.0
GOOG,0.0
PAYC,0.0
QRVO,2.0
DOX,0.0
NUAN,0.0
TEL,2.0
EA,0.0
GPRO,2.0
INXN,1.0
INFO,1.0
YY,2.0
NOW,0.0
AKAM,2.0
MDRX,0.0
LPL,2.0
NTAP,2.0
VIAV,2.0
LOGM,0.0
BB,2.0
YELP,2.0
VSH,2.0
TER,2.0
TRUE,2.0
JNPR,0.0
MCHP,2.0
KLIC,2.0
TEAM,0.0
PFPT,0.0
PLUG,2.0
HIMX,2.0
INTU,2.0
XLNX,1.0
MTSI,0.0
DBD,2.0
ABB,2.0
SWKS,2.0
IIVI,0.0
TDC,2.0
LDOS,0.0
VSLR,2.0
FIT,0.0
ADI,2.0
OLED,0.0
PRO,2.0
SSNC,0.0
EXTR,0.0
FEYE,2.0
VECO,2.0
ZEN,2.0
ATEN,0.0
BDC,2.0
ERIC,2.0
MANH,0.0
SPLK,2.0
VRSN,0.0
DXC,0.0
STM,2.0
HMNY,2.0
KN,2.0
CIEN,2.0
EQIX,0.0
VRNT,2.0
FIS,2.0
WDAY,2.0
